insight_id,filter,filter_value,insight_key,feature,feature_display,metric,metric_display,direction,effect_size,effect_size_cohen_d,evidence_uplift_pp,evidence_n_has,evidence_n_abs,evidence_baseline_pp,evidence_sig,evidence_p_value,quality_flags,confidence,text
236e3530,Global,Global,Feature,product_presence,Product,SCD_score,SCD Score,positive,small,0.094,2.36,2517,1891,48.57,**,0.00233,multiple_testing_risk,high,Product is associated with 2.4pp higher SCD Score (n=2517 with feature; **).
6e9a3989,Global,Global,Feature,animatics_cartoons_presence,Animatics Cartoons,Attention_T2B,Attention,negative,medium,-0.267,-5.11,84,4607,59.55,*,0.04869,multiple_testing_risk,medium,Animatics Cartoons is associated with 5.1pp lower Attention (n=84 with feature; *).
f3c08617,Global,Global,Feature,animatics_cartoons_presence,Animatics Cartoons,Persuasion_T2B,Persuasion,negative,medium,-0.228,-4.37,84,4607,55.09,*,0.02216,multiple_testing_risk,medium,Animatics Cartoons is associated with 4.4pp lower Persuasion (n=84 with feature; *).
d6a39ebd,Global,Global,Feature,animatics_cartoons_presence,Animatics Cartoons,Likeability_Love_Like_T2B,Likeability,negative,small,-0.16,-3.32,84,4607,56.4,ns,0.16317,multiple_testing_risk,low,Animatics Cartoons is associated with 3.3pp lower Likeability (n=84 with feature; ns).
c3a03e67,Global,Global,Feature,animatics_cartoons_presence,Animatics Cartoons,Experience_Recall_T2B,Recall,negative,medium,-0.44,-7.37,84,4613,37.19,***,0.00021,multiple_testing_risk,high,Animatics Cartoons is associated with 7.4pp lower Recall (n=84 with feature; ***).
61c32247,Global,Global,Feature,animatics_cartoons_presence,Animatics Cartoons,Brand_Linkage_T2B,Brand Linkage,negative,medium,-0.363,-5.98,84,4607,54.16,**,0.00135,multiple_testing_risk,high,Animatics Cartoons is associated with 6.0pp lower Brand Linkage (n=84 with feature; **).
65f79bab,Global,Global,Feature,animatics_cartoons_presence,Animatics Cartoons,Uniqueness_T2B,Uniqueness,negative,small,-0.131,-2.47,84,4607,57.42,ns,0.27304,multiple_testing_risk,low,Animatics Cartoons is associated with 2.5pp lower Uniqueness (n=84 with feature; ns).
793532eb,Global,Global,Feature,animatics_cartoons_presence,Animatics Cartoons,Shareability_T2B,Shareability,negative,small,-0.18,-3.67,84,4600,44.08,ns,0.07022,multiple_testing_risk,low,Animatics Cartoons is associated with 3.7pp lower Shareability (n=84 with feature; ns).
890c76b9,Global,Global,Feature,animatics_cartoons_presence,Animatics Cartoons,SCD_score,SCD Score,negative,small,-0.052,-1.42,82,4326,49.94,ns,0.57286,multiple_testing_risk,low,Animatics Cartoons is associated with 1.4pp lower SCD Score (n=82 with feature; ns).
a50336c1,Global,Global,Feature,animals_and_pets_presence,Animals And Pets,Attention_T2B,Attention,positive,medium,0.256,3.95,269,4422,59.24,***,0.00013,multiple_testing_risk,high,Animals And Pets is associated with 3.9pp higher Attention (n=269 with feature; ***).
76088bfd,Global,Global,Feature,animals_and_pets_presence,Animals And Pets,Persuasion_T2B,Persuasion,positive,small,0.086,1.43,269,4422,54.93,ns,0.24139,multiple_testing_risk,low,Animals And Pets is associated with 1.4pp higher Persuasion (n=269 with feature; ns).
f7ec4ffe,Global,Global,Feature,animals_and_pets_presence,Animals And Pets,Likeability_Love_Like_T2B,Likeability,positive,medium,0.346,5.76,269,4422,56.01,***,0.0,multiple_testing_risk,high,Animals And Pets is associated with 5.8pp higher Likeability (n=269 with feature; ***).
d89252c5,Global,Global,Feature,animals_and_pets_presence,Animals And Pets,Experience_Recall_T2B,Recall,positive,medium,0.225,3.99,269,4428,36.83,***,0.00013,multiple_testing_risk,high,Animals And Pets is associated with 4.0pp higher Recall (n=269 with feature; ***).
2850de4e,Global,Global,Feature,animals_and_pets_presence,Animals And Pets,Brand_Linkage_T2B,Brand Linkage,positive,small,0.172,2.47,269,4422,53.91,**,0.00649,multiple_testing_risk,high,Animals And Pets is associated with 2.5pp higher Brand Linkage (n=269 with feature; **).
6f1c125e,Global,Global,Feature,animals_and_pets_presence,Animals And Pets,Uniqueness_T2B,Uniqueness,positive,medium,0.277,4.3,269,4422,57.13,***,2e-05,multiple_testing_risk,high,Animals And Pets is associated with 4.3pp higher Uniqueness (n=269 with feature; ***).
995b60f7,Global,Global,Feature,animals_and_pets_presence,Animals And Pets,Shareability_T2B,Shareability,positive,small,0.152,2.6,267,4417,43.87,*,0.02269,multiple_testing_risk,medium,Animals And Pets is associated with 2.6pp higher Shareability (n=267 with feature; *).
bceb35e0,Global,Global,Feature,animals_and_pets_presence,Animals And Pets,SCD_score,SCD Score,positive,medium,0.345,8.72,254,4154,49.42,***,0.0,multiple_testing_risk,high,Animals And Pets is associated with 8.7pp higher SCD Score (n=254 with feature; ***).
9ded67f0,Global,Global,Feature,indoors,Indoors,Attention_T2B,Attention,positive,medium,0.223,3.51,1673,3018,58.21,***,0.0,multiple_testing_risk,high,Indoors is associated with 3.5pp higher Attention (n=1673 with feature; ***).
ba227b72,Global,Global,Feature,indoors,Indoors,Persuasion_T2B,Persuasion,positive,small,0.189,3.22,1673,3018,53.86,***,0.0,multiple_testing_risk,high,Indoors is associated with 3.2pp higher Persuasion (n=1673 with feature; ***).
5a97907f,Global,Global,Feature,indoors,Indoors,Likeability_Love_Like_T2B,Likeability,positive,medium,0.254,4.4,1673,3018,54.77,***,0.0,multiple_testing_risk,high,Indoors is associated with 4.4pp higher Likeability (n=1673 with feature; ***).
45be6bfc,Global,Global,Feature,indoors,Indoors,Experience_Recall_T2B,Recall,positive,small,0.183,3.26,1676,3021,35.89,***,0.0,multiple_testing_risk,high,Indoors is associated with 3.3pp higher Recall (n=1676 with feature; ***).
25f010d9,Global,Global,Feature,indoors,Indoors,Brand_Linkage_T2B,Brand Linkage,positive,small,0.161,2.31,1673,3018,53.23,***,0.0,multiple_testing_risk,high,Indoors is associated with 2.3pp higher Brand Linkage (n=1673 with feature; ***).
