feature,metric,uplift_pp,n_has,n_abs,sig,p_value,cohen_d,baseline_mean,has_mean,quality_flags,scope,scope_value
animals_and_pets_presence,Brand_Linkage_T2B,2.473147011142318,269,4422,**,0.006487204205258473,0.17213593283290887,53.90809945725916,56.38124646840148,multiple_testing_risk,Global,Global
animals_and_pets_presence,Uniqueness_T2B,4.298581288387404,269,4422,***,2.3596965433726377e-05,0.2768862051270297,57.127281908638615,61.42586319702602,multiple_testing_risk,Global,Global
animals_and_pets_presence,Shareability_T2B,2.597989643775028,267,4417,*,0.02269238736498896,0.1521000496215,43.8663500565995,46.46433970037453,multiple_testing_risk,Global,Global
animals_and_pets_presence,SCD_score,8.719776024626691,254,4154,***,2.864713039623319e-07,0.3451069155341421,49.415775156475675,58.135551181102365,multiple_testing_risk,Global,Global
indoors,Attention_T2B,3.510971946068153,1673,3018,***,1.749416369340865e-13,0.22306797624742872,58.20937551358516,61.72034745965331,multiple_testing_risk,Global,Global
indoors,Persuasion_T2B,3.2236169524989977,1673,3018,***,5.320348602007223e-10,0.18861806047587273,53.86008041749503,57.08369736999403,multiple_testing_risk,Global,Global
indoors,Likeability_Love_Like_T2B,4.399980535713799,1673,3018,***,5.952120758863813e-16,0.2539010481746677,54.76776746189529,59.16774799760909,multiple_testing_risk,Global,Global
indoors,Experience_Recall_T2B,3.2592627723872445,1676,3021,***,4.1515951350581455e-10,0.18295866954651838,35.893050413770275,39.152313186157514,multiple_testing_risk,Global,Global
indoors,Brand_Linkage_T2B,2.307794865594226,1673,3018,***,3.253428849337395e-07,0.16110315987297935,53.22686640159047,55.534661267184696,multiple_testing_risk,Global,Global
indoors,Uniqueness_T2B,3.974831984245153,1673,3018,***,2.99096687979233e-16,0.25160599948441004,55.956193538767394,59.93102552301255,multiple_testing_risk,Global,Global
indoors,Shareability_T2B,3.1716438181968174,1669,3015,***,3.6264892266755368e-09,0.18040439801124122,42.88432394693201,46.05596776512883,multiple_testing_risk,Global,Global
indoors,SCD_score,2.5575388452292347,1605,2803,***,0.0008839037528043878,0.1018260351143939,48.98700321084553,51.54454205607476,multiple_testing_risk,Global,Global
